Property_id,rent
4394,438.18154761904765
2338,523.43
8531,962.86
8952,420.4776767676769
11064,275.91666666666663
10336,741.05
12954,910.07
219,384.47648809523815
1599,635.0476785714285
7572,428.29
170,1093.125
6658,327.95833333333326
3616,252.4466666666667
7772,326.5733333333333
1214,555.6621753246754
8197,527.6675
9892,274.7583333333333
1635,1137.8041666666668
7403,987.9166666666665
4468,260.88
13081,485.91
13917,376.84333333333336
4049,2262.0
2145,302.73125
2125,815.4125000000001
1580,520.582738095238
3828,899.6166666666666
10858,444.575
2999,686.5
3834,647.0375
11267,394.97242965367974
11904,621.45
5514,13210.755
8697,256.23083333333335
3466,554.3149999999999
8217,814.3303571428571
4230,323.815
10598,336.92315476190475
2920,455.58790584415584
328,430.885
10668,861.52
2911,407.1996428571428
5039,594.6229166666667
7590,378.64742063492065
5757,384.2
9697,458.14583333333326
3859,1043.55
11365,693.55
1984,434.19895604395606
6033,623.1416666666668
10816,198.34833333333336
11981,678.525
7883,406.6291865079365
6166,417.3125
7769,340.11
8087,287.3700595238096
5504,374.025
11853,321.67708333333337
7768,216.99202380952377
9232,308.4375
9695,617.696091269841
7477,862.195
12232,541.2
6795,267.15833333333336
5624,485.4313275613276
3600,547.0202976190476
11199,367.51583333333326
3681,693.5005952380955
169,1094.6999999999998
9531,696.625
1329,1175.1642857142856
2237,184.69
1079,514.985
8500,1337.0
456,611.9125
8010,886.5
9407,313.13362824675335
9538,302.4247619047619
3015,351.645
2583,317.3495833333333
10125,287.8
11959,568.95
4878,918.8273809523807
10070,421.920238095238
7151,197.45
736,441.23045634920635
12765,843.7583333333334
3480,148.55059523809524
1800,702.025
3602,748.43
8279,905.6198214285714
12788,372.69166666666666
3572,472.2583333333334
2925,389.6
2620,846.235
1924,742.275
12650,340.24916666666667
11699,834.5333333333334
4297,551.1930357142857
12435,303.90625000000006
4092,330.425
400,258.2690476190476
4801,437.024107142857
11378,453.63696428571427
8328,1234.775
7808,312.9485714285714
13578,449.5166666666667
13020,172.345
6346,699.95
3014,385.1046428571429
8117,216.3375
7525,441.0616666666667
13577,206.62
11472,284.125
9461,393.0375
11815,327.5797619047619
3345,548.925
12663,1255.275
13302,553.5433333333333
291,380.275
8240,821.05
13184,492.31
7310,294.1125
2819,256.17634920634924
3406,296.6970129870129
3543,305.6075
8359,412.95
1689,544.0857142857143
11850,255.83333333333331
11018,514.5633333333334
6426,295.31
8280,589.9496428571429
7568,446.35
8539,828.6708333333335
3032,454.97
3596,407.9367424242425
7597,1418.75
5730,255.9440476190476
13214,222.4625
609,391.625
7751,3616.5
12177,540.075
9623,381.84375
13033,196.8674702380952
13331,383.8
6196,913.1535714285714
5480,1233.0
1845,383.9383928571429
2770,591.1735119047619
8251,386.56666666666666
10862,401.48
1744,604.53
9367,780.55
6089,1255.4511904761903
3618,378.31333333333333
10180,381.525
11445,672.9066666666665
13836,208.2025
4100,887.9416666666666
8744,497.11387237762233
2068,424.88321428571436
13015,642.9492460317458
13960,219.41583333333332
13336,422.87976190476184
8456,1127.1194444444443
1966,428.1779688367189
10748,291.635
11370,333.66537937756686
9658,1446.325
8694,276.2868452380952
12832,705.67
10698,1433.75
13473,682.1716666666666
2994,561.57875
4169,426.13838712370284
10428,148.26166666666668
7920,402.0083333333334
12383,307.91333333333336
5072,520.1105952380952
10872,510.95
4463,467.82583333333326
5652,514.8146428571429
12837,500.875
12713,782.3029166666668
10292,298.8
11431,463.0416666666668
1963,446.075
1770,230.85208333333333
11403,728.05
3996,408.55695887445887
7925,395.425
10045,1104.635
1958,433.5873333333333
4818,320.04249999999996
11355,202.96107142857144
6076,726.0
8075,953.19
8871,1035.625
4266,277.245
13205,873.81
12256,360.369246031746
3647,608.17
11286,602.9083333333333
7454,259.12416666666667
10121,618.3440476190476
12063,795.3416666666666
8939,378.848
8643,393.80500000000006
733,458.625
796,483.73
1594,657.18
7429,859.05
9090,284.73333333333335
11220,519.6375
5835,478.1125
10035,656.86
411,261.46261904761906
2120,467.27465277777765
10640,1163.3
6097,875.885
1922,518.1416666666667
2141,356.6625
3856,655.2825
9726,312.025
12157,358.48107142857145
8927,469.1895833333333
1490,834.49
9026,366.02344047619044
11508,508.545
7766,486.92666666666673
6866,635.9247619047619
8487,512.5633333333334
5251,990.64
3692,1021.9666666666667
6552,1292.625
904,1029.375
12219,303.3566666666666
488,340.349761904762
4163,424.8616666666666
14011,434.75630952380953
12246,318.0206547619048
8911,590.475
903,260.0891666666667
2013,962.1458333333335
4191,298.53541666666666
4862,267.1874025974025
5229,405.3363852120103
6105,431.778125
10445,685.7583333333334
15,716.375
3593,1050.05
7029,260.9041666666667
13066,1166.0875
10751,378.89583333333326
10466,428.1779688367189
7074,811.5166666666668
10672,321.8
9108,253.03547619047617
7915,594.6229166666667
13147,345.30550685425703
3223,506.95208333333335
13807,702.665
12173,262.725
6585,388.0347619047619
1517,1060.3
4521,420.4776767676769
3208,391.8625
2457,302.0275
1359,1242.475
7439,1201.75
8792,428.0612987012988
7229,799.45
12797,860.025
6456,1041.4866666666667
8077,153.73958333333334
2035,292.8833333333333
9523,557.4666666666667
1347,420.4604247835498
287,476.3916666666667
9591,1009.5620634920633
3523,703.5541666666667
3209,475.3791666666667
8424,784.8145833333333
8463,155.00166666666667
3479,550.87875
1108,807.5520833333335
3705,266.325
2361,823.36
4994,1050.625
10307,317.49375
2311,461.7915764790764
10194,360.2333333333333
7692,715.9116666666665
5764,441.17595238095237
1748,659.5375
2632,565.2458333333333
7110,441.3506547619049
9882,423.96041666666673
2693,1288.1666666666667
5640,267.12666666666667
13432,204.21333333333337
10257,350.57458333333335
10033,302.96333333333337
1581,517.7827380952381
9024,421.55420062392807
1663,608.2034812409813
9764,956.675
7641,1351.975
8622,1070.185
4906,325.7303968253967
354,1041.125
6303,1657.25
5999,1177.15
10158,304.1
2958,721.2525
3653,905.19
1796,388.9527777777778
12426,422.185
1607,533.95
2715,577.3145833333333
10401,316.57416666666666
2590,398.6733333333333
3380,339.10666666666674
9192,347.45537129537144
1990,165.18333333333337
11233,268.9429761904762
13631,912.095
8566,812.6458333333335
14058,649.5916666666667
12277,710.58
2110,374.3875
4166,474.60416666666663
6553,441.69361111111107
4190,331.1833333333333
10711,413.095
1419,395.1499999999999
174,530.8830952380952
7609,437.69
1784,1481.05
9775,1204.1833333333334
7475,208.40714285714287
3679,620.75
7638,349.86666666666673
6576,1262.9375
4510,465.8047619047619
10141,628.4433333333333
10236,484.815
100,515.8458928571428
7489,435.66166666666663
1698,479.84041666666667
6957,223.39583333333331
3777,568.0041666666668
6974,346.03392857142876
12804,392.8666666666666
1723,2041.0
4503,474.8
8305,546.5393452380953
837,749.22
12656,391.96583333333336
8028,289.11875
10547,276.47
6715,824.6
4046,1351.25
1062,315.3501785714286
7628,473.29763888888886
7497,1030.4183333333335
13167,1028.567857142857
5728,365.245
8743,825.2420833333333
11170,944.1
7502,450.73482954545466
11062,883.6404761904763
5207,627.49
9839,223.80583333333337
10889,384.90081349206343
